UF,MUNICIPIO_DESCRICAO,Código IBGE,Estabelecimentos (Matriz + Filial)
SP,Caconde,3508702,11
SP,Cafelândia,Totais,11
SP,Cafelândia,3508801,11
SP,Caiabu,Totais,2
SP,Caiabu,3508900,2
SP,Caieiras,Totais,42
SP,Caieiras,3509007,42
SP,Caiuá,Totais,3
SP,Caiuá,3509106,3
SP,Cajamar,Totais,46
SP,Cajamar,3509205,46
SP,Cajati,Totais,11
SP,Cajati,3509254,11
SP,Cajobi,Totais,9
SP,Cajobi,3509304,9
SP,Cajuru,Totais,17
SP,Cajuru,3509403,17
SP,Campina do Monte Alegre,Totais,6
SP,Campina do Monte Alegre,3509452,6
SP,Campinas,Totais,585
SP,Campinas,3509502,585
SP,Campo Limpo Paulista,Totais,36
SP,Campo Limpo Paulista,3509601,36
SP,Campos do Jordão,Totais,24
SP,Campos do Jordão,3509700,24
SP,Campos Novos Paulista,Totais,4
SP,Campos Novos Paulista,3509809,4
SP,Cananéia,Totais,7
SP,Cananéia,3509908,7
SP,Canas,Totais,4
SP,Canas,3509957,4
SP,Cândido Mota,Totais,14
SP,Cândido Mota,3510005,14
SP,Cândido Rodrigues,Totais,2
SP,Cândido Rodrigues,3510104,2
SP,Canitar,Totais,2
SP,Canitar,3510153,2
SP,Capâo Bonito,Totais,26
SP,Capâo Bonito,3510203,26
SP,Capela do Alto,Totais,12
SP,Capela do Alto,3510302,12
SP,Capivari,Totais,23
SP,Capivari,3510401,23
SP,Caraguatatuba,Totais,62
SP,Caraguatatuba,3510500,62
SP,Carapicuíba,Totais,153
SP,Carapicuíba,3510609,153
SP,Cardoso,Totais,11
SP,Cardoso,3510708,11
SP,Casa Branca,Totais,18
SP,Casa Branca,3510807,18
SP,Cássia dos Coqueiros,Totais,5
SP,Cássia dos Coqueiros,3510906,5
SP,Castilho,Totais,11
SP,Castilho,3511003,11
SP,Catanduva,Totais,92
SP,Catanduva,3511102,92
SP,Catiguá,Totais,5
SP,Catiguá,3511201,5
SP,Cedral,Totais,8
SP,Cedral,3511300,8
SP,Cerqueira César,Totais,14
SP,Cerqueira César,3511409,14
SP,Cerquilho,Totais,28
SP,Cerquilho,3511508,28
SP,Cesário Lange,Totais,10
SP,Cesário Lange,3511607,10
SP,Charqueada,Totais,8
SP,Charqueada,3511706,8
SP,Chavantes,Totais,6
SP,Chavantes,3557204,6
SP,Clementina,Totais,5
SP,Clementina,3511904,5
SP,Colina,Totais,14
SP,Colina,3512001,14
SP,Colômbia,Totais,4
SP,Colômbia,3512100,4
SP,Conchal,Totais,14
SP,Conchal,3512209,14
SP,Conchas,Totais,10
SP,Conchas,3512308,10
SP,Cordeirópolis,Totais,9
SP,Cordeirópolis,3512407,9
SP,Coroados,Totais,3
SP,Coroados,3512506,3
SP,Coronel Macedo,Totais,3
SP,Coronel Macedo,3512605,3
SP,Corumbataí,Totais,1
SP,Corumbataí,3512704,1
SP,Cosmópolis,Totais,24
SP,Cosmópolis,3512803,24
SP,Cosmorama,Totais,7
SP,Cosmorama,3512902,7
SP,Cotia,Totais,133
SP,Cotia,3513009,133
SP,Cravinhos,Totais,23
SP,Cravinhos,3513108,23
SP,Cristais Paulista,Totais,4
SP,Cristais Paulista,3513207,4
SP,Cruzália,Totais,3
SP,Cruzália,3513306,3
SP,Cruzeiro,Totais,40
SP,Cruzeiro,3513405,40
SP,Cubatão,Totais,36
SP,Cubatão,3513504,36
SP,Cunha,Totais,8
SP,Cunha,3513603,8
SP,Descalvado,Totais,12
SP,Descalvado,3513702,12
SP,Diadema,Totais,128
SP,Diadema,3513801,128
SP,Dirce Reis,Totais,1
SP,Dirce Reis,3513850,1
SP,Divinolândia,Totais,8
SP,Divinolândia,3513900,8
SP,Dobrada,Totais,3
SP,Dobrada,3514007,3
SP,Dois Córregos,Totais,16
SP,Dois Córregos,3514106,16
SP,Dolcinópolis,Totais,2
SP,Dolcinópolis,3514205,2
SP,Dourado,Totais,5
SP,Dourado,3514304,5
SP,Dracena,Totais,26
SP,Dracena,3514403,26
SP,Duartina,Totais,9
SP,Duartina,3514502,9
SP,Dumont,Totais,4
SP,Dumont,3514601,4
SP,Echaporã,Totais,3
SP,Echaporã,3514700,3
SP,Eldorado,Totais,5
SP,Eldorado,3514809,5
SP,Elias Fausto,Totais,10
SP,Elias Fausto,3514908,10
SP,Elisiário,Totais,2
SP,Elisiário,3514924,2
SP,Embaúba,Totais,2
SP,Embaúba,3514957,2
SP,Embu,Totais,95
SP,Embu,3515004,95
SP,Embu-Guaçu,Totais,19
SP,Embu-Guaçu,3515103,19
SP,Emilianópolis,Totais,3
SP,Emilianópolis,3515129,3
SP,Engenheiro Coelho,Totais,15
SP,Engenheiro Coelho,3515152,15
SP,Espírito Santo do Pinhal,Totais,21
SP,Espírito Santo do Pinhal,3515186,21
SP,Espírito Santo do Turvo,Totais,2
SP,Espírito Santo do Turvo,3515194,2
SP,Estiva Gerbi,Totais,5
SP,Estiva Gerbi,3557303,5
SP,Estrela d´Oeste,Totais,11
SP,Estrela d´Oeste,3515202,11
SP,Estrela do Norte,Totais,1
SP,Estrela do Norte,3515301,1
SP,Euclides da Cunha Paulista,Totais,6
SP,Euclides da Cunha Paulista,3515350,6
SP,Fartura,Totais,14
SP,Fartura,3515400,14
SP,Fernando Prestes,Totais,5
SP,Fernando Prestes,3515608,5
SP,Fernandópolis,Totais,55
SP,Fernandópolis,3515509,55
SP,Fernão,Totais,1
SP,Fernão,3515657,1
SP,Ferraz de Vasconcelos,Totais,57
SP,Ferraz de Vasconcelos,3515707,57
SP,Flora Rica,Totais,1
SP,Flora Rica,3515806,1
SP,Floreal,Totais,3
SP,Floreal,3515905,3
SP,Flórida Paulista,Totais,8
SP,Flórida Paulista,3516002,8
SP,Florínia,Totais,2
SP,Florínia,3516101,2
SP,Franca,Totais,225
SP,Franca,3516200,225
SP,Francisco Morato,Totais,62
SP,Francisco Morato,3516309,62
SP,Franco da Rocha,Totais,68
SP,Franco da Rocha,3516408,68
SP,Gabriel Monteiro,Totais,2
SP,Gabriel Monteiro,3516507,2
SP,Gália,Totais,6
SP,Gália,3516606,6
SP,Garça,Totais,26
SP,Garça,3516705,26
SP,Gastão Vidigal,Totais,5
SP,Gastão Vidigal,3516804,5
SP,Gavião Peixoto,Totais,2
SP,Gavião Peixoto,3516853,2
SP,General Salgado,Totais,13
SP,General Salgado,3516903,13
SP,Getulina,Totais,6
SP,Getulina,3517000,6
SP,Glicério,Totais,4
SP,Glicério,3517109,4
SP,Guaiçara,Totais,3
SP,Guaiçara,3517208,3
SP,Guaimbê,Totais,3
SP,Guaimbê,3517307,3
SP,Guaíra,Totais,27
SP,Guaíra,3517406,27
SP,Guapiaçu,Totais,16
SP,Guapiaçu,3517505,16
SP,Guapiara,Totais,13
SP,Guapiara,3517604,13
SP,Guará,Totais,13
SP,Guará,3517703,13
SP,Guaraçaí,Totais,4
SP,Guaraçaí,3517802,4
SP,Guaraci,Totais,12
SP,Guaraci,3517901,12
SP,Guarani d´Oeste,Totais,4
SP,Guarani d´Oeste,3518008,4
SP,Guarantã,Totais,2
SP,Guarantã,3518107,2
SP,Guararapes,Totais,17
SP,Guararapes,3518206,17
SP,Guararema,Totais,16
SP,Guararema,3518305,16
SP,Guaratinguetá,Totais,60
SP,Guaratinguetá,3518404,60
SP,Guareí,Totais,4
SP,Guareí,3518503,4
SP,Guariba,Totais,21
SP,Guariba,3518602,21
SP,Guarujá,Totais,148
SP,Guarujá,3518701,148
SP,Guarulhos,Totais,513
SP,Guarulhos,3518800,513
SP,Guatapará,Totais,8
SP,Guatapará,3518859,8
SP,Guzolândia,Totais,3
SP,Guzolândia,3518909,3
SP,Herculândia,Totais,6
SP,Herculândia,3519006,6
SP,Holambra,Totais,8
SP,Holambra,3519055,8
SP,Hortolândia,Totais,136
SP,Hortolândia,3519071,136
SP,Iacanga,Totais,10
SP,Iacanga,3519105,10
SP,Iacri,Totais,4
SP,Iacri,3519204,4
SP,Iaras,Totais,7
SP,Iaras,3519253,7
SP,Ibaté,Totais,20
SP,Ibaté,3519303,20
SP,Ibirá,Totais,11
SP,Ibirá,3519402,11
SP,Ibirarema,Totais,8
SP,Ibirarema,3519501,8
SP,Ibitinga,Totais,34
SP,Ibitinga,3519600,34
SP,Ibiúna,Totais,53
SP,Ibiúna,3519709,53
SP,Icém,Totais,6
SP,Icém,3519808,6
SP,Iepê,Totais,10
SP,Iepê,3519907,10
SP,Igaraçu do Tietê,Totais,10
SP,Igaraçu do Tietê,3520004,10
SP,Igarapava,Totais,15
SP,Igarapava,3520103,15
SP,Igaratá,Totais,5
SP,Igaratá,3520202,5
SP,Iguape,Totais,17
SP,Iguape,3520301,17
SP,Ilha Comprida,Totais,13
SP,Ilha Comprida,3520426,13
SP,Ilha Solteira,Totais,12
SP,Ilha Solteira,3520442,12
SP,Ilhabela,Totais,15
SP,Ilhabela,3520400,15
SP,Indaiatuba,Totais,106
SP,Indaiatuba,3520509,106
SP,Indiana,Totais,2
SP,Indiana,3520608,2
SP,Indiaporã,Totais,3
SP,Indiaporã,3520707,3
SP,Inúbia Paulista,Totais,4
SP,Inúbia Paulista,3520806,4
SP,Ipaussu,Totais,9
SP,Ipaussu,3520905,9
SP,Iperó,Totais,11
SP,Iperó,3521002,11
SP,Ipeúna,Totais,2
SP,Ipeúna,3521101,2
SP,Ipiguá,Totais,4
SP,Ipiguá,3521150,4
SP,Iporanga,Totais,2
SP,Iporanga,3521200,2
SP,Ipuã,Totais,9
SP,Ipuã,3521309,9
SP,Iracemápolis,Totais,7
SP,Iracemápolis,3521408,7
SP,Irapuã,Totais,8
SP,Irapuã,3521507,8
SP,Irapuru,Totais,5
SP,Irapuru,3521606,5
SP,Itaberá,Totais,18
SP,Itaberá,3521705,18
SP,Itaí,Totais,21
SP,Itaí,3521804,21
SP,Itajobi,Totais,18
SP,Itajobi,3521903,18
SP,Itaju,Totais,1
SP,Itaju,3522000,1
SP,Itanhaém,Totais,64
SP,Itanhaém,3522109,64
SP,Itaóca,Totais,3
SP,Itaóca,3522158,3
SP,Itapecerica da Serra,Totais,64
SP,Itapecerica da Serra,3522208,64
SP,Itapetininga,Totais,82
SP,Itapetininga,3522307,82
SP,Itapeva,Totais,60
SP,Itapeva,3522406,60
SP,Itapevi,Totais,71
SP,Itapevi,3522505,71
SP,Itapira,Totais,41
SP,Itapira,3522604,41
SP,Itapirapuã Paulista,Totais,4
SP,Itapirapuã Paulista,3522653,4
SP,Itápolis,Totais,27
SP,Itápolis,3522703,27
SP,Itaporanga,Totais,11
SP,Itaporanga,3522802,11
SP,Itapuí,Totais,8
SP,Itapuí,3522901,8
SP,Itapura,Totais,3
SP,Itapura,3523008,3
SP,Itaquaquecetuba,Totais,129
SP,Itaquaquecetuba,3523107,129
SP,Itararé,Totais,28
SP,Itararé,3523206,28
SP,Itariri,Totais,4
SP,Itariri,3523305,4
SP,Itatiba,Totais,54
SP,Itatiba,3523404,54
SP,Itatinga,Totais,7
SP,Itatinga,3523503,7
SP,Itirapina,Totais,6
SP,Itirapina,3523602,6
SP,Itirapuã,Totais,4
SP,Itirapuã,3523701,4
SP,Itobi,Totais,5
SP,Itobi,3523800,5
SP,Itu,Totais,80
SP,Itu,3523909,80
SP,Itupeva,Totais,38
SP,Itupeva,3524006,38
SP,Ituverava,Totais,16
SP,Ituverava,3524105,16
SP,Jaborandi,Totais,6
SP,Jaborandi,3524204,6
SP,Jaboticabal,Totais,45
SP,Jaboticabal,3524303,45
SP,Jacareí,Totais,82
SP,Jacareí,3524402,82
SP,Jaci,Totais,4
SP,Jaci,3524501,4
SP,Jacupiranga,Totais,9
SP,Jacupiranga,3524600,9
SP,Jaguariúna,Totais,26
SP,Jaguariúna,3524709,26
SP,Jales,Totais,44
SP,Jales,3524808,44
SP,Jambeiro,Totais,2
SP,Jambeiro,3524907,2
SP,Jandira,Totais,40
SP,Jandira,3525003,40
SP,Jardinópolis,Totais,18
SP,Jardinópolis,3525102,18
SP,Jarinu,Totais,17
SP,Jarinu,3525201,17
SP,Jaú,Totais,71
SP,Jaú,3525300,71
SP,Jeriquara,Totais,2
SP,Jeriquara,3525409,2
SP,Joanópolis,Totais,6
SP,Joanópolis,3525508,6
SP,João Ramalho,Totais,3
SP,João Ramalho,3525607,3
SP,José Bonifácio,Totais,31
SP,José Bonifácio,3525706,31
SP,Júlio Mesquita,Totais,2
SP,Júlio Mesquita,3525805,2
SP,Jumirim,Totais,1
SP,Jumirim,3525854,1
SP,Jundiaí,Totais,234
SP,Jundiaí,3525904,234
SP,Junqueirópolis,Totais,12
SP,Junqueirópolis,3526001,12
SP,Juquiá,Totais,6
SP,Juquiá,3526100,6
SP,Juquitiba,Totais,10
SP,Juquitiba,3526209,10
SP,Lagoinha,Totais,4
SP,Lagoinha,3526308,4
SP,Laranjal Paulista,Totais,15
SP,Laranjal Paulista,3526407,15
SP,Lavínia,Totais,3
SP,Lavínia,3526506,3
SP,Lavrinhas,Totais,2
SP,Lavrinhas,3526605,2
SP,Leme,Totais,47
SP,Leme,3526704,47
SP,Lençóis Paulista,Totais,32
SP,Lençóis Paulista,3526803,32
SP,Limeira,Totais,128
SP,Limeira,3526902,128
SP,Lindóia,Totais,6
SP,Lindóia,3527009,6
SP,Lins,Totais,44
SP,Lins,3527108,44
SP,Lorena,Totais,32
SP,Lorena,3527207,32
SP,Lourdes,Totais,1
SP,Lourdes,3527256,1
SP,Louveira,Totais,20
SP,Louveira,3527306,20
SP,Lucélia,Totais,14
SP,Lucélia,3527405,14
SP,Lucianópolis,Totais,2
SP,Lucianópolis,3527504,2
SP,Luís Antônio,Totais,5
SP,Luís Antônio,3527603,5
SP,Luiziânia,Totais,3
SP,Luiziânia,3527702,3
SP,Lupércio,Totais,3
SP,Lupércio,3527801,3
SP,Lutécia,Totais,3
SP,Lutécia,3527900,3
SP,Macatuba,Totais,10
SP,Macatuba,3528007,10
SP,Macaubal,Totais,4
SP,Macaubal,3528106,4
SP,Macedônia,Totais,3
SP,Macedônia,3528205,3
SP,Magda,Totais,2
SP,Magda,3528304,2
SP,Mairinque,Totais,21
SP,Mairinque,3528403,21
SP,Mairiporã,Totais,34
SP,Mairiporã,3528502,34
SP,Manduri,Totais,10
SP,Manduri,3528601,10
SP,Marabá Paulista,Totais,3
SP,Marabá Paulista,3528700,3
SP,Maracaí,Totais,12
SP,Maracaí,3528809,12
SP,Marapoama,Totais,3
SP,Marapoama,3528858,3
SP,Mariápolis,Totais,3
SP,Mariápolis,3528908,3
SP,Marília,Totais,166
SP,Marília,3529005,166
SP,Marinópolis,Totais,2
SP,Marinópolis,3529104,2
SP,Martinópolis,Totais,14
SP,Martinópolis,3529203,14
SP,Matão,Totais,64
SP,Matão,3529302,64
SP,Mauá,Totais,147
SP,Mauá,3529401,147
SP,Mendonça,Totais,7
SP,Mendonça,3529500,7
SP,Meridiano,Totais,3
SP,Meridiano,3529609,3
SP,Mesópolis,Totais,2
SP,Mesópolis,3529658,2
SP,Miguelópolis,Totais,9
SP,Miguelópolis,3529708,9
SP,Mineiros do Tietê,Totais,10
SP,Mineiros do Tietê,3529807,10
SP,Mira Estrela,Totais,2
SP,Mira Estrela,3530003,2
SP,Miracatu,Totais,8
SP,Miracatu,3529906,8
SP,Mirandopólis,Totais,11
SP,Mirandopólis,3530102,11
SP,Mirante do Paranapanema,Totais,7
SP,Mirante do Paranapanema,3530201,7
SP,Mirassol,Totais,43
SP,Mirassol,3530300,43
SP,Mirassolândia,Totais,2
SP,Mirassolândia,3530409,2
SP,Mococa,Totais,32
SP,Mococa,3530508,32
SP,Mogi das Cruzes,Totais,202
SP,Mogi das Cruzes,3530607,202
SP,Mogi Guaçu,Totais,79
SP,Mogi Guaçu,3530706,79
SP,Moji Mirim,Totais,81
SP,Moji Mirim,3530805,81
SP,Mombuca,Totais,1
SP,Mombuca,3530904,1
SP,Monções,Totais,2
SP,Monções,3531001,2
SP,Mongaguá,Totais,38
SP,Mongaguá,3531100,38
SP,Monte Alegre do Sul,Totais,3
SP,Monte Alegre do Sul,3531209,3
SP,Monte Alto,Totais,33
SP,Monte Alto,3531308,33
SP,Monte Aprazível,Totais,21
SP,Monte Aprazível,3531407,21
SP,Monte Azul Paulista,Totais,17
SP,Monte Azul Paulista,3531506,17
SP,Monte Castelo,Totais,2
SP,Monte Castelo,3531605,2
SP,Monte Mor,Totais,25
SP,Monte Mor,3531803,25
SP,Monteiro Lobato,Totais,3
SP,Monteiro Lobato,3531704,3
SP,Morro Agudo,Totais,22
SP,Morro Agudo,3531902,22
SP,Morungaba,Totais,4
SP,Morungaba,3532009,4
SP,Motuca,Totais,2
SP,Motuca,3532058,2
SP,Murutinga do Sul,Totais,2
SP,Murutinga do Sul,3532108,2
SP,Nantes,Totais,3
SP,Nantes,3532157,3
SP,Narandiba,Totais,3
SP,Narandiba,3532207,3
SP,Natividade da Serra,Totais,3
SP,Natividade da Serra,3532306,3
SP,Nazaré Paulista,Totais,10
SP,Nazaré Paulista,3532405,10
SP,Neves Paulista,Totais,4
SP,Neves Paulista,3532504,4
SP,Nhandeara,Totais,10
SP,Nhandeara,3532603,10
SP,Nipoã,Totais,5
SP,Nipoã,3532702,5
SP,Nova Aliança,Totais,4
SP,Nova Aliança,3532801,4
SP,Nova Campina,Totais,6
SP,Nova Campina,3532827,6
SP,Nova Canaã Paulista,Totais,2
SP,Nova Canaã Paulista,3532843,2
SP,Nova Castilho,Totais,1
SP,Nova Castilho,3532868,1
SP,Nova Europa,Totais,5
SP,Nova Europa,3532900,5
SP,Nova Granada,Totais,17
SP,Nova Granada,3533007,17
SP,Nova Guataporanga,Totais,1
SP,Nova Guataporanga,3533106,1
SP,Nova Independência,Totais,2
SP,Nova Independência,3533205,2
SP,Nova Luzitânia,Totais,4
SP,Nova Luzitânia,3533304,4
SP,Nova Odessa,Totais,32
SP,Nova Odessa,3533403,32
SP,Novais,Totais,4
SP,Novais,3533254,4
SP,Novo Horizonte,Totais,32
SP,Novo Horizonte,3533502,32
SP,Nuporanga,Totais,5
SP,Nuporanga,3533601,5
SP,Ocauçu,Totais,3
SP,Ocauçu,3533700,3
SP,Óleo,Totais,2
SP,Óleo,3533809,2
SP,Olímpia,Totais,49
SP,Olímpia,3533908,49
SP,Onda Verde,Totais,3
SP,Onda Verde,3534005,3
SP,Oriente,Totais,5
SP,Oriente,3534104,5
SP,Orindiúva,Totais,4
SP,Orindiúva,3534203,4
SP,Orlândia,Totais,19
SP,Orlândia,3534302,19
SP,Osasco,Totais,310
SP,Osasco,3534401,310
SP,Oscar Bressane,Totais,2
SP,Oscar Bressane,3534500,2
SP,Osvaldo Cruz,Totais,15
SP,Osvaldo Cruz,3534609,15
SP,Ourinhos,Totais,60
SP,Ourinhos,3534708,60
SP,Ouro Verde,Totais,4
SP,Ouro Verde,3534807,4
SP,Ouroeste,Totais,14
SP,Ouroeste,3534757,14
SP,Pacaembu,Totais,7
SP,Pacaembu,3534906,7
SP,Palestina,Totais,11
SP,Palestina,3535002,11
SP,Palmares Paulista,Totais,6
SP,Palmares Paulista,3535101,6
SP,Palmeira d´Oeste,Totais,6
SP,Palmeira d´Oeste,3535200,6
SP,Palmital,Totais,17
SP,Palmital,3535309,17
SP,Panorama,Totais,7
SP,Panorama,3535408,7
SP,Paraguaçu Paulista,Totais,25
SP,Paraguaçu Paulista,3535507,25
SP,Paraibuna,Totais,5
SP,Paraibuna,3535606,5
SP,Paraíso,Totais,4
SP,Paraíso,3535705,4
SP,Paranapanema,Totais,17
SP,Paranapanema,3535804,17
SP,Paranapuã,Totais,3
SP,Paranapuã,3535903,3
SP,Parapuã,Totais,8
SP,Parapuã,3536000,8
SP,Pardinho,Totais,5
SP,Pardinho,3536109,5
SP,Pariquera-Açu,Totais,9
SP,Pariquera-Açu,3536208,9
SP,Parisi,Totais,3
SP,Parisi,3536257,3
SP,Patrocínio Paulista,Totais,8
SP,Patrocínio Paulista,3536307,8
SP,Paulicéia,Totais,3
SP,Paulicéia,3536406,3
SP,Paulínia,Totais,50
SP,Paulínia,3536505,50
SP,Paulistânia,Totais,1
SP,Paulistânia,3536570,1
SP,Paulo de Faria,Totais,7
SP,Paulo de Faria,3536604,7
SP,Pederneiras,Totais,28
SP,Pederneiras,3536703,28
SP,Pedra Bela,Totais,3
SP,Pedra Bela,3536802,3
SP,Pedranópolis,Totais,2
SP,Pedranópolis,3536901,2
SP,Pedregulho,Totais,13
SP,Pedregulho,3537008,13
SP,Pedreira,Totais,20
SP,Pedreira,3537107,20
SP,Pedrinhas Paulista,Totais,2
SP,Pedrinhas Paulista,3537156,2
SP,Pedro de Toledo,Totais,2
SP,Pedro de Toledo,3537206,2
SP,Penápolis,Totais,46
SP,Penápolis,3537305,46
SP,Pereira Barreto,Totais,22
SP,Pereira Barreto,3537404,22
SP,Pereiras,Totais,6
SP,Pereiras,3537503,6
SP,Peruíbe,Totais,40
SP,Peruíbe,3537602,40
SP,Piacatu,Totais,4
SP,Piacatu,3537701,4
SP,Piedade,Totais,31
SP,Piedade,3537800,31
SP,Pilar do Sul,Totais,17
SP,Pilar do Sul,3537909,17
SP,Pindamonhangaba,Totais,85
SP,Pindamonhangaba,3538006,85
SP,Pindorama,Totais,10
SP,Pindorama,3538105,10
SP,Pinhalzinho,Totais,9
SP,Pinhalzinho,3538204,9
SP,Piquerobi,Totais,2
SP,Piquerobi,3538303,2
SP,Piquete,Totais,8
