UF,MUNICIPIO,COUNT
SP,Cosmópolis,24
SP,Capivari,23
SP,Cravinhos,23
SP,Pereira Barreto,22
SP,Morro Agudo,22
SP,São Miguel Arcanjo,22
SP,Serra Negra,22
SP,Apiaí,22
SP,Tietê,22
SP,Mairinque,21
SP,São Pedro,21
SP,Artur Nogueira,21
SP,Santa Isabel,21
SP,Itaí,21
SP,Guariba,21
SP,Ribeirão Branco,21
SP,Monte Aprazível,21
SP,Espírito Santo do Pinhal,21
SP,Presidente Epitácio,21
SP,Louveira,20
SP,Aguaí,20
SP,Tanabi,20
SP,Bady Bassitt,20
SP,Pedreira,20
SP,Rancharia,20
SP,Ibaté,20
SP,Angatuba,19
SP,Bariri,19
SP,São Manuel,19
SP,Agudos,19
SP,Orlândia,19
SP,Embu Guaçu,19
SP,Salto de Pirapora,19
SP,Itaberá,18
SP,Casa Branca,18
SP,Itajobi,18
SP,Américo Brasiliense,18
SP,Promissão,18
SP,Santa Rita do Passa Quatro,18
SP,Jardinópolis,18
SP,Buri,18
SP,Socorro,18
SP,Pirapozinho,18
SP,Presidente Venceslau,18
SP,Serrana,17
SP,Aparecida,17
SP,Viradouro,17
SP,Auriflama,17
SP,Nova Granada,17
SP,Paranapanema,17
SP,Iguape,17
SP,Jarinu,17
SP,Cajuru,17
SP,Cachoeira Paulista,17
SP,Rosana,17
SP,Monte Azul Paulista,17
SP,Pilar do Sul,17
SP,Palmital,17
SP,Pitangueiras,17
SP,Pontal,17
SP,Guararapes,17
SP,Urupês,16
SP,Guapiaçu,16
SP,Borborema,16
SP,Santa Cruz das Palmeiras,16
SP,Ituverava,16
SP,Barrinha,16
SP,Dois Córregos,16
SP,Guararema,16
SP,Brotas,15
SP,Laranjal Paulista,15
SP,Engenheiro Coelho,15
SP,Pompéia,15
SP,Piraju,15
SP,Ilhabela,15
SP,Igarapava,15
SP,Osvaldo Cruz,15
SP,Teodoro Sampaio,14
SP,Altinópolis,14
SP,Colina,14
SP,Martinópolis,14
SP,Rio das Pedras,14
SP,Santa Adélia,14
SP,Ouroeste,14
SP,Fartura,14
SP,Buritama,14
SP,Águas de Lindóia,14
SP,Tremembé,14
SP,Cerqueira César,14
SP,Conchal,14
SP,Cândido Mota,14
SP,Lucélia,14
SP,Biritiba Mirim,14
SP,Piracaia,13
SP,Pirajuí,13
SP,Guará,13
SP,Santa Gertrudes,13
SP,Bastos,13
SP,Taquarituba,13
SP,Guapiara,13
SP,Pedregulho,13
SP,Pradópolis,13
SP,Bálsamo,13
SP,Ilha Comprida,13
SP,General Salgado,13
SP,Junqueirópolis,12
SP,Capela do Alto,12
SP,Santa Rosa de Viterbo,12
SP,Valparaíso,12
SP,Severínia,12
SP,Regente Feijó,12
SP,Descalvado,12
SP,Maracaí,12
SP,Guaraci,12
SP,Ilha Solteira,12
SP,Tambaú,11
SP,Valentim Gentil,11
SP,Iperó,11
SP,Santo Anastácio,11
SP,Bocaina,11
SP,Bernardino de Campos,11
SP,Cardoso,11
SP,Cafelândia,11
SP,Cajati,11
SP,Caconde,11
SP,Mirandopólis,11
SP,Palestina,11
SP,Ibirá,11
SP,Castilho,11
SP,Itaporanga,11
SP,Estrela d'Oeste,11
SP,Juquitiba,10
SP,Iacanga,10
SP,Rio Grande da Serra,10
SP,Elias Fausto,10
SP,Pirangi,10
SP,Igaraçu do Tietê,10
SP,Nhandeara,10
SP,Iepê,10
SP,Nazaré Paulista,10
SP,Pindorama,10
SP,Manduri,10
SP,Conchas,10
SP,Cesário Lange,10
SP,Mineiros do Tietê,10
SP,Brodowski,10
SP,Santo Antônio de Posse,10
SP,Tabapuã,10
SP,Macatuba,10
SP,Tapiratiba,9
SP,Jacupiranga,9
SP,Bom Jesus dos Perdões,9
SP,Miguelópolis,9
SP,Taguaí,9
SP,Ipuã,9
SP,Pinhalzinho,9
SP,Duartina,9
SP,Potirendaba,9
SP,Tupi Paulista,9
SP,Pariquera Açu,9
SP,Ipaussu,9
SP,Cajobi,9
SP,Cordeirópolis,9
SP,Álvares Machado,9
SP,Quatá,9
SP,Araçariguama,8
SP,Holambra,8
SP,Guatapará,8
SP,Alumínio,8
SP,Cedral,8
SP,Flórida Paulista,8
SP,Divinolândia,8
SP,Vera Cruz,8
SP,Cunha,8
SP,Sales,8
SP,Piquete,8
SP,Ribeirão Bonito,8
SP,Charqueada,8
SP,São Bento do Sapucaí,8
SP,Irapuã,8
SP,Parapuã,8
SP,Santo Antônio do Aracanguá,8
SP,Miracatu,8
SP,Patrocínio Paulista,8
SP,Ibirarema,8
SP,Salesópolis,8
SP,Piratininga,8
SP,Tabatinga,8
SP,Sarapuí,8
SP,Itapuí,8
SP,Terra Roxa,8
SP,Tarumã,8
SP,Uchoa,8
SP,Américo de Campos,7
SP,Iracemápolis,7
SP,Cananéia,7
SP,Paulo de Faria,7
SP,Panorama,7
SP,Pacaembu,7
SP,Cosmorama,7
SP,Iaras,7
SP,Mirante do Paranapanema,7
SP,Roseira,7
SP,Pirapora do Bom Jesus,7
SP,Presidente Bernardes,7
SP,Riolândia,7
SP,Itatinga,7
SP,Santo Antônio da Alegria,7
SP,Serra Azul,7
SP,Avanhandava,7
SP,Águas de Santa Bárbara,7
SP,Bilac,7
SP,Sud Mennucci,7
SP,Mendonça,7
SP,São Simão,7
SP,São Sebastião da Grama,7
SP,Jaborandi,6
SP,Juquiá,6
SP,Palmeira d'Oeste,6
SP,Chavantes,6
SP,Riversul,6
SP,Águas da Prata,6
SP,Lindóia,6
SP,Boa Esperança do Sul,6
SP,Joanópolis,6
SP,Planalto,6
SP,Nova Campina,6
SP,Icém,6
SP,Itirapina,6
SP,Pereiras,6
SP,Vargem,6
SP,Getulina,6
SP,Rinópolis,6
SP,Palmares Paulista,6
SP,Herculândia,6
SP,Gália,6
SP,Euclides da Cunha Paulista,6
SP,Campina do Monte Alegre,6
SP,Porangaba,6
SP,Itobi,5
SP,Nipoã,5
SP,São João de Iracema,5
SP,Bananal,5
SP,Ariranha,5
SP,Arealva,5
SP,Estiva Gerbi,5
SP,Quintana,5
SP,Urânia,5
SP,Aramina,5
SP,Torrinha,5
SP,Sales Oliveira,5
SP,Suzanápolis,5
SP,Luís Antônio,5
SP,Taiaçu,5
SP,Sete Barras,5
SP,Bofete,5
SP,Bom Sucesso de Itararé,5
SP,São Pedro do Turvo,5
SP,Cássia dos Coqueiros,5
SP,Catiguá,5
SP,Igaratá,5
SP,Santa Albertina,5
SP,Pardinho,5
SP,Irapuru,5
SP,Nuporanga,5
SP,Paraibuna,5
SP,Nova Europa,5
SP,Fernando Prestes,5
SP,Clementina,5
SP,Salto Grande,5
SP,Eldorado,5
SP,Gastão Vidigal,5
SP,Potim,5
SP,Dourado,5
SP,Braúna,5
SP,Oriente,5
SP,Ipiguá,4
SP,Itapirapuã Paulista,4
SP,Lagoinha,4
SP,Tarabai,4
SP,Areiópolis,4
SP,Macaubal,4
SP,Adolfo,4
SP,Jaci,4
SP,Barbosa,4
SP,Itariri,4
SP,São Lourenço da Serra,4
SP,Itirapuã,4
SP,Santópolis do Aguapeí,4
SP,Nova Aliança,4
SP,Paraíso,4
SP,Guareí,4
SP,Iacri,4
SP,Orindiúva,4
SP,Santa Branca,4
SP,Inúbia Paulista,4
SP,Ouro Verde,4
SP,Cabrália Paulista,4
SP,Neves Paulista,4
SP,Santo Antônio do Pinhal,4
SP,Morungaba,4
SP,Santo Antônio do Jardim,4
SP,Campos Novos Paulista,4
SP,Canas,4
SP,Novais,4
SP,Nova Luzitânia,4
SP,Dumont,4
SP,Glicério,4
SP,Guaraçaí,4
SP,Rincão,4
SP,Piacatu,4
SP,Colômbia,4
SP,Guarani d'Oeste,4
SP,Cristais Paulista,4
SP,Populina,4
SP,Queiroz,4
SP,Reginópolis,4
SP,Rafard,4
SP,Anhumas,4
SP,Aparecida d'Oeste,4
SP,Vista Alegre do Alto,4
SP,Altair,4
SP,Alfredo Marcondes,3
SP,Alto Alegre,3
SP,Álvaro de Carvalho,3
SP,Anhembi,3
SP,João Ramalho,3
SP,Pontes Gestal,3
SP,Pontalinda,3
SP,Emilianópolis,3
SP,Ubarana,3
SP,Turmalina,3
SP,Três Fronteiras,3
SP,Echaporã,3
SP,Floreal,3
SP,Poloni,3
SP,Platina,3
SP,Pongaí,3
SP,Cruzália,3
SP,Restinga,3
SP,Monte Alegre do Sul,3
SP,Nantes,3
SP,Monteiro Lobato,3
SP,Santa Maria da Serra,3
SP,Santa Ernestina,3
SP,Santo Expedito,3
SP,Itaóca,3
SP,Caiuá,3
SP,Ocauçu,3
SP,Coronel Macedo,3
SP,Indiaporã,3
SP,Paranapuã,3
SP,Coroados,3
SP,Guzolândia,3
SP,Onda Verde,3
SP,Pedra Bela,3
SP,Paulicéia,3
SP,Saltinho,3
SP,Parisi,3
SP,Guaiçara,3
SP,Guaimbê,3
SP,Rifaina,3
SP,Ribeirão do Sul,3
SP,Ribeirão Corrente,3
SP,Dobrada,3
SP,Itapura,3
SP,Barão de Antonina,3
SP,Barra do Chapéu,3
SP,Silveiras,3
SP,Arandu,3
SP,Mariápolis,3
SP,Marabá Paulista,3
SP,Marapoama,3
SP,Taiúva,3
SP,Macedônia,3
SP,Lutécia,3
SP,Tapiraí,3
SP,Luiziânia,3
SP,Lavínia,3
SP,Lupércio,3
SP,Narandiba,3
SP,Buritizal,3
SP,Meridiano,3
SP,São José da Bela Vista,3
SP,São Luís do Paraitinga,3
SP,Natividade da Serra,3
SP,Boracéia,3
SP,Torre de Pedra,2
SP,Queluz,2
SP,Álvares Florence,2
SP,Turiúba,2
SP,Elisiário,2
SP,Vitória Brasil,2
SP,Analândia,2
SP,Timburi,2
SP,Florínia,2
SP,Gabriel Monteiro,2
SP,Avaí,2
SP,Taquaral,2
SP,Taquarivaí,2
SP,Tejupá,2
SP,Júlio Mesquita,2
SP,Magda,2
SP,Sebastianópolis do Sul,2
SP,Redenção da Serra,2
SP,Presidente Alves,2
SP,Ubirajara,2
SP,Tuiuti,2
SP,Embaúba,2
SP,Pratânia,2
SP,Espírito Santo do Turvo,2
SP,Ribeira,2
SP,Pedro de Toledo,2
SP,Motuca,2
SP,Monte Castelo,2
SP,Caiabu,2
SP,Santana da Ponte Pensa,2
SP,Murutinga do Sul,2
SP,Sabino,2
SP,Pedranópolis,2
SP,Gavião Peixoto,2
SP,Óleo,2
SP,Sandovalina,2
SP,Salmourão,2
SP,Rubinéia,2
SP,Pedrinhas Paulista,2
SP,Guarantã,2
SP,Dolcinópolis,2
SP,Ribeirão dos Índios,2
SP,Alambari,2
SP,União Paulista,2
SP,Águas de São Pedro,2
SP,Zacarias,2
SP,Aspásia,2
SP,Areias,2
SP,Lavrinhas,2
SP,Mesópolis,2
SP,Bento de Abreu,2
SP,Iporanga,2
SP,Ipeúna,2
SP,Mira Estrela,2
SP,Lucianópolis,2
SP,Nova Independência,2
SP,Santa Lúcia,2
SP,Santa Rita d'Oeste,2
SP,Canitar,2
SP,Cândido Rodrigues,2
SP,Oscar Bressane,2
SP,Santa Cruz da Conceição,2
SP,Nova Canaã Paulista,2
SP,Indiana,2
SP,Piquerobi,2
SP,Mirassolândia,2
SP,Jambeiro,2
SP,Jeriquara,2
SP,Marinópolis,2
SP,São José do Barreiro,2
SP,Monções,2
SP,São João das Duas Pontes,2
SP,Borebi,2
SP,Brejo Alegre,2
SP,Taciba,2
SP,Barra do Turvo,2
SP,Quadra,1
SP,Dirce Reis,1
SP,Estrela do Norte,1
SP,Alvinlândia,1
SP,Uru,1
SP,Pracinha,1
SP,Flora Rica,1
SP,Fernão,1
SP,Sagres,1
SP,Ribeirão Grande,1
SP,Paulistânia,1
SP,Rubiácea,1
SP,Nova Castilho,1
SP,Nova Guataporanga,1
SP,Itaju,1
SP,Santa Salete,1
SP,Santa Mercedes,1
SP,Corumbataí,1
SP,Santa Cruz da Esperança,1
SP,Santa Clara d'Oeste,1
SP,São João do Pau d'Alho,1
SP,São Francisco,1
SP,Sarutaiá,1
SP,Borá,1
SP,Balbinos,1
SP,Mombuca,1
SP,Lourdes,1
SP,Jumirim,1
SP,Arco Íris,1
SP,Arapeí,1
